GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Seal Edugain IDP connector,eu.seal.idp.model.pojo,AttributeSetStatus,164,0,14,0,38,0,21,0,14,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,SessionMngrResponse,46,0,0,0,20,0,10,0,10,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,DataSet,469,0,34,0,106,0,55,0,38,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,UpdateDataRequest,36,0,0,0,16,0,8,0,8,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,SecurityKeyType,36,0,0,0,16,0,8,0,8,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,AttributeType,102,0,0,0,29,0,15,0,15,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,MngrSessionTO,26,0,0,0,12,0,6,0,6,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,AttributeSet,177,0,0,0,49,0,25,0,25,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,EsmoSecurityUsage,24,0,0,0,2,0,1,0,1,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,EndpointType,36,0,0,0,16,0,8,0,8,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,AttributeSetStatus.CodeEnum,64,0,4,0,11,0,6,0,4,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,EntityMetadata,156,0,0,0,64,0,32,0,32,0
Seal Edugain IDP connector,eu.seal.idp.model.pojo,DataStore,290,0,22,0,66,0,35,0,24,0
Seal Edugain IDP connector,eu.seal.idp.model.factories,AttributeTypeFactory,75,0,4,0,15,0,5,0,3,0
Seal Edugain IDP connector,eu.seal.idp.controllers,ISController,105,0,4,0,20,0,5,0,3,0
Seal Edugain IDP connector,eu.seal.idp.controllers,CallbackController,286,0,2,0,57,0,5,0,4,0
Seal Edugain IDP connector,eu.seal.idp.controllers,AuthenticateController,141,0,6,0,26,0,6,0,3,0
Seal Edugain IDP connector,eu.seal.idp.controllers,TokenGenerateController,342,0,0,0,66,0,8,0,8,0
Seal Edugain IDP connector,eu.seal.idp,Application,17,0,0,0,4,0,3,0,3,0
Seal Edugain IDP connector,eu.seal.idp.service.impl,NetworkServiceImpl,570,0,10,0,115,0,13,0,8,0
Seal Edugain IDP connector,eu.seal.idp.service.impl,SAMLUserDetailsServiceImpl,94,0,2,0,19,0,4,0,3,0
Seal Edugain IDP connector,eu.seal.idp.service.impl,SealMetadataServiceImpl,137,0,0,0,20,0,2,0,2,0
Seal Edugain IDP connector,eu.seal.idp.service.impl,SAMLDatasetDetailsServiceImpl,50,0,2,0,12,0,4,0,3,0
Seal Edugain IDP connector,eu.seal.idp.service.impl,KeyStoreServiceImpl,167,0,16,0,35,0,16,0,8,0
Seal Edugain IDP connector,eu.seal.idp.service.impl,MngrSessionTO,26,0,0,0,12,0,6,0,6,0
Seal Edugain IDP connector,eu.seal.idp.service.impl,DatastoreServiceImpl,50,0,2,0,12,0,4,0,3,0
Seal Edugain IDP connector,eu.seal.idp.service.impl,CurrentUserHandlerMethodArgumentResolver,30,0,6,0,7,0,6,0,3,0
Seal Edugain IDP connector,eu.seal.idp.service.impl,HttpSignatureServiceImpl,777,0,42,0,148,0,34,0,13,0
Seal Edugain IDP connector,eu.seal.idp.enums,TypeEnum,34,0,0,0,2,0,1,0,1,0
Seal Edugain IDP connector,eu.seal.idp.enums,HttpResponseEnum,44,0,0,0,5,0,1,0,1,0
Seal Edugain IDP connector,eu.seal.idp.enums,ResponseCode,34,0,0,0,4,0,1,0,1,0
Seal Edugain IDP connector,eu.seal.idp.config,WebSecurityConfig,703,0,0,0,165,0,49,0,49,0
Seal Edugain IDP connector,eu.seal.idp.config,SAMLWithRelayStateEntryPoint,54,0,2,0,11,0,3,0,2,0
